year,month,category_name_en,revenue_items_only,sold_items
2017,7,home_appliances,3671.99,37
2017,7,unknown,3124.66,61
2017,7,market_place,1573.38,13
2017,7,fashion_shoes,1423.01,20
2017,7,air_conditioning,1396.1,5
2017,7,kitchen_dining_laundry_garden_furniture,1316.5,11
2017,7,books_general_interest,1292.4,13
2017,7,furniture_bedroom,1206.99,5
2017,7,agro_industry_and_commerce,1180.0,1
2017,7,home_appliances_2,1033.99,7
2017,7,audio,771.69,7
2017,7,dvds_blu_ray,749.7,4
2017,7,fashion_male_clothing,719.99,9
2017,7,food,584.16,7
2017,7,construction_tools_construction,549.44,6
2017,7,signaling_and_security,530.19,6
2017,7,books_technical,528.0,2
2017,7,la_cuisine,469.99,4
2017,7,art,386.75,3
2017,7,construction_tools_lights,360.0,1
2017,7,costruction_tools_garden,347.58,8
2017,7,music,329.0,1
2017,7,fashio_female_clothing,310.7,4
2017,7,fashion_underwear_beach,274.8,3
2017,7,drinks,273.97,3
2017,7,industry_commerce_and_business,245.96,2
2017,7,cds_dvds_musicals,225.0,5
2017,7,fixed_telephony,218.73,9
2017,7,tablets_printing_image,198.0,2
2017,7,food_drink,168.2,8
2017,7,arts_and_craftmanship,129.9,1
2017,7,furniture_mattress_and_upholstery,109.4,1
2017,7,home_construction,93.6,2
2017,7,fashion_sport,69.9,1
2017,7,party_supplies,69.9,1
2017,7,christmas_supplies,65.09,2
2017,7,home_comfort_2,12.9,1
2017,8,bed_bath_table,57137.23,512
2017,8,health_beauty,49873.9,360
2017,8,sports_leisure,41732.26,425
2017,8,cool_stuff,41720.03,264
2017,8,watches_gifts,36419.2,212
2017,8,furniture_decor,35511.73,436
2017,8,computers_accessories,35025.72,350
2017,8,computers,33700.0,29
2017,8,garden_tools,24269.4,238
2017,8,housewares,23733.94,288
2017,8,auto,20421.11,166
2017,8,baby,19982.13,132
2017,8,toys,18126.87,184
2017,8,perfumery,13142.09,128
2017,8,telephony,10930.29,136
2017,8,pet_shop,10500.79,90
2017,8,office_furniture,9877.36,58
2017,8,consoles_games,8824.25,90
2017,8,musical_instruments,7185.55,27
2017,8,luggage_accessories,6833.1,63
2017,8,fashion_bags_accessories,6617.68,99
2017,8,stationery,6366.91,80
2017,8,unknown,5243.4,77
2017,8,home_appliances,4587.05,49
2017,8,small_appliances,4297.01,36
2017,8,air_conditioning,4271.73,15
2017,8,home_appliances_2,4004.55,17
2017,8,home_confort,4000.19,28
2017,8,fixed_telephony,3343.54,20
2017,8,books_general_interest,3214.8,29
2017,8,electronics,2854.15,56
2017,8,furniture_living_room,2478.07,23
2017,8,market_place,1937.39,23
2017,8,fashion_shoes,1491.69,22
2017,8,costruction_tools_garden,1286.19,10
2017,8,fashion_male_clothing,1205.05,15
2017,8,books_technical,1196.38,9
2017,8,construction_tools_construction,1180.0,7
2017,8,fashion_underwear_beach,1111.0,13
2017,8,audio,1050.7,7
2017,8,kitchen_dining_laundry_garden_furniture,1006.2,7
2017,8,industry_commerce_and_business,956.9,3
2017,8,furniture_bedroom,618.0,3
2017,8,construction_tools_lights,589.0,2
2017,8,furniture_mattress_and_upholstery,509.39,2
2017,8,food_drink,494.81,15
2017,8,tablets_printing_image,450.89,6
2017,8,signaling_and_security,377.8,4
2017,8,food,364.5,8
2017,8,la_cuisine,313.0,2
2017,8,fashion_sport,265.8,2
2017,8,art,244.7,4
2017,8,fashio_female_clothing,188.7,4
2017,8,cds_dvds_musicals,135.0,3
2017,8,home_construction,124.8,1
2017,8,drinks,119.9,2
2017,8,dvds_blu_ray,113.4,6
2017,8,small_appliances_home_oven_and_coffee,109.06,2
2017,8,agro_industry_and_commerce,88.0,4
2017,8,books_imported,61.0,1
2017,8,christmas_supplies,58.9,1
2017,8,fashion_childrens_clothes,49.9,1
2017,8,home_comfort_2,38.7,3
2017,8,construction_tools_safety,8.9,1
2017,9,computers,52878.88,41
2017,9,bed_bath_table,52473.2,533
2017,9,health_beauty,51537.65,380
2017,9,sports_leisure,50167.48,461
2017,9,watches_gifts,47135.6,268
2017,9,cool_stuff,38210.34,207
2017,9,toys,31399.22,297
2017,9,furniture_decor,30838.69,348
2017,9,computers_accessories,28930.98,253
2017,9,baby,24366.3,174
2017,9,garden_tools,22507.23,225
2017,9,housewares,20313.26,255
2017,9,telephony,18559.25,177
2017,9,perfumery,14744.87,160
2017,9,auto,14544.67,108
2017,9,fixed_telephony,13692.91,13
2017,9,fashion_bags_accessories,11948.22,124
2017,9,small_appliances,10965.63,33
2017,9,office_furniture,9208.65,61
2017,9,musical_instruments,9034.97,28
2017,9,consoles_games,8910.37,66
2017,9,pet_shop,8534.92,71
2017,9,stationery,6130.41,77
2017,9,unknown,5904.14,74
2017,9,home_confort,4592.34,33
2017,9,electronics,4338.96,67
2017,9,luggage_accessories,3885.38,42
2017,9,agro_industry_and_commerce,1993.99,4
2017,9,home_appliances,1820.19,10
2017,9,fashion_underwear_beach,1789.7,18
2017,9,air_conditioning,1731.05,8
2017,9,home_appliances_2,1627.8,6
2017,9,home_construction,1357.81,11
2017,9,construction_tools_construction,1289.2,11
2017,9,furniture_living_room,1275.87,11
2017,9,fashion_shoes,1179.6,14
2017,9,fashion_male_clothing,1177.5,16
2017,9,market_place,1147.21,11
2017,9,construction_tools_safety,1124.54,5
2017,9,audio,1042.59,10
2017,9,books_technical,1001.35,8
2017,9,food,992.92,17
2017,9,books_general_interest,965.14,15
2017,9,costruction_tools_tools,916.89,3
2017,9,furniture_bedroom,709.6,4
2017,9,small_appliances_home_oven_and_coffee,640.99,1
2017,9,kitchen_dining_laundry_garden_furniture,464.09,5
2017,9,signaling_and_security,438.4,9
2017,9,art,388.54,3
2017,9,fashion_sport,384.6,5
2017,9,fashio_female_clothing,355.7,4
2017,9,drinks,327.97,8
2017,9,food_drink,310.86,9
2017,9,costruction_tools_garden,297.5,6
2017,9,books_imported,290.0,4
2017,9,party_supplies,269.8,2
2017,9,christmas_supplies,254.7,4
2017,9,tablets_printing_image,233.9,3
2017,9,construction_tools_lights,229.0,1
2017,9,industry_commerce_and_business,219.98,2
2017,9,security_and_services,100.0,1
2017,9,fashion_childrens_clothes,89.99,1
2017,9,furniture_mattress_and_upholstery,86.5,1
2017,9,cine_photo,69.0,1
2017,9,dvds_blu_ray,39.8,2
2017,9,home_comfort_2,12.9,1
2017,10,watches_gifts,65959.53,314
2017,10,sports_leisure,49751.45,471
2017,10,bed_bath_table,46198.0,545
2017,10,cool_stuff,44910.01,258
2017,10,computers_accessories,44022.09,322
2017,10,health_beauty,41915.72,361
2017,10,computers,40393.92,27
2017,10,toys,34633.01,290
2017,10,furniture_decor,30227.51,379
2017,10,garden_tools,25978.74,281
2017,10,telephony,22850.76,253
2017,10,auto,21505.28,150
2017,10,unknown,18800.48,73
2017,10,office_furniture,17890.83,102
2017,10,perfumery,16984.62,189
2017,10,baby,16497.5,138
2017,10,housewares,15996.63,235
2017,10,consoles_games,10608.87,109
2017,10,stationery,8607.86,101
2017,10,pet_shop,8243.58,76
2017,10,fashion_bags_accessories,7906.06,110
2017,10,musical_instruments,6859.16,27
2017,10,small_appliances,6464.85,32
2017,10,luggage_accessories,6240.34,56
2017,10,home_construction,4201.17,18
2017,10,fixed_telephony,3751.88,7
2017,10,home_confort,3619.8,27
2017,10,electronics,3454.32,63
2017,10,kitchen_dining_laundry_garden_furniture,3428.6,16
2017,10,agro_industry_and_commerce,3350.28,5
2017,10,home_appliances_2,2803.17,10
2017,10,construction_tools_construction,2576.18,19
2017,10,air_conditioning,2562.42,12
2017,10,audio,2348.48,32
2017,10,food_drink,2297.23,17
2017,10,industry_commerce_and_business,2256.69,5
2017,10,home_appliances,1951.08,8
2017,10,fashion_shoes,1860.92,18
2017,10,construction_tools_safety,1668.85,12
2017,10,furniture_living_room,1532.79,19
2017,10,furniture_bedroom,1193.9,4
2017,10,fashion_male_clothing,1041.8,11
2017,10,market_place,1019.54,11
2017,10,costruction_tools_tools,1018.6,5
2017,10,books_technical,880.0,6
2017,10,food,806.06,17
2017,10,costruction_tools_garden,746.9,9
2017,10,signaling_and_security,744.0,10
2017,10,books_general_interest,734.5,11
2017,10,drinks,596.98,12
2017,10,construction_tools_lights,500.0,2
2017,10,christmas_supplies,388.05,12
