customer_region,customer_state,customer_city,revenue_items_only,orders_count
sul,PR,altamira do parana,259.1,2
nordeste,BA,rio do antonio,259.0,2
sudeste,MG,cocais,259.0,1
nordeste,PB,soledade,258.9,3
centro_oeste,MT,alto garcas,258.8,2
sul,RS,dona francisca,258.7,2
nordeste,PB,princesa isabel,258.0,1
nordeste,PI,jose de freitas,257.9,3
nordeste,BA,mucuge,256.99,1
sul,SC,major vieira,256.89,3
centro_oeste,MS,bataypora,256.89,2
sul,SC,anita garibaldi,256.78,5
sul,PR,santo antonio do caiua,256.3,1
sudeste,SP,bernardino de campos,256.09,4
sul,RS,minas do leao,256.0,1
centro_oeste,MS,jardim,256.0,3
nordeste,BA,nova soure,255.52,3
sudeste,MG,icarai de minas,254.9,2
sul,PR,nova fatima,254.89,4
sul,SC,nova erechim,254.79,3
sul,RS,restinga seca,254.69,3
nordeste,AL,olho d'agua das flores,254.48,3
nordeste,CE,miraima,254.0,2
norte,RO,urupa,253.57,3
sudeste,MG,igaratinga,253.52,1
sudeste,MG,alterosa,252.3,3
nordeste,AL,jequia da praia,251.91,2
nordeste,BA,buritirama,251.9,2
sul,PR,quatigua,251.7,5
sudeste,MG,campo do meio,251.69,4
norte,TO,formoso do araguaia,251.28,4
sudeste,MG,pouso alto,251.0,3
sudeste,RJ,engenheiro passos,250.89,2
nordeste,SE,caninde de sao francisco,250.8,2
nordeste,MA,presidente juscelino,249.99,1
nordeste,BA,humildes,249.99,1
sul,SC,armazem,249.9,2
nordeste,CE,cedro,249.9,1
nordeste,AL,santana do ipanema,249.9,1
sudeste,MG,divinesia,249.9,1
nordeste,PE,cortes,249.89,2
nordeste,MA,campestre do maranhao,249.89,2
sul,RS,glorinha,249.8,2
sudeste,SP,potim,249.8,2
nordeste,BA,itaguacu da bahia,249.7,1
nordeste,SE,brejo grande,249.0,1
sul,SC,riqueza,248.9,3
nordeste,PB,sume,248.89,3
sudeste,SP,sarapui,248.88,2
norte,PA,vigia,248.79,3
sudeste,MG,santa helena de minas,248.34,2
nordeste,PE,buenos aires,247.9,2
sudeste,MG,pirauba,247.77,3
sudeste,MG,luisburgo,246.98,2
nordeste,BA,sapeacu,246.79,2
nordeste,CE,potengi,245.89,2
centro_oeste,MT,nova monte verde,245.79,3
sudeste,MG,vargem alegre,244.99,2
norte,PA,itaituba,243.88,3
centro_oeste,MS,ivinhema,243.69,3
sudeste,ES,irupi,242.99,2
